"NOME_CATMETROPOL";"tipo";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022"
"Região Metropolitana do Vale do Itajaí";"Ciclistas";NA;NA;NA;NA;1;3;1;1;NA;3;NA;1;NA;NA;1;NA;NA;NA;NA;3;4;2;NA
"Região Metropolitana do Vale do Aço";"Ciclistas";2;NA;1;1;1;NA;4;1;NA;NA;1;NA;1;1;NA;1;5;1;5;5;3;4;NA
"Região Metropolitana do São Francisco";"Ciclistas";NA;NA;NA;NA;NA;NA;NA;2;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Região Metropolitana do Sul do Estado";"Ciclistas";1;NA;1;NA;NA;NA;NA;1;1;1;NA;NA;NA;1;NA;1;NA;NA;NA;NA;NA;NA;NA
"Região Metropolitana do Sudoeste Maranhense";"Ciclistas";1;NA;3;2;4;4;5;6;5;2;4;7;16;12;8;11;9;11;6;11;11;3;NA
"Região Metropolitana do Sertão";"Ciclistas";1;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA
"Região Metropolitana do Rio de Janeiro";"Ciclistas";5;3;14;21;21;24;25;34;35;34;35;10;14;15;21;16;11;21;7;12;8;20;NA
"Região Metropolitana do Planalto Norte";"Ciclistas";NA;NA;3;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;NA;NA;NA;NA
"Região Metropolitana do Médio Sertão";"Ciclistas";NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;1;1;NA;NA
"Região Metropolitana do Extremo Oeste";"Ciclistas";NA;NA;NA;1;NA;1;2;NA;1;1;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;2;NA;NA
"Região Metropolitana do Contestado";"Ciclistas";NA;NA;NA;NA;NA;1;NA;2;NA;2;2;NA;NA;NA;1;1;NA;NA;2;NA;1;NA;NA
"Região Metropolitana do Cariri";"Ciclistas";3;5;1;2;2;3;2;1;1;5;31;2;1;4;2;NA;NA;2;2;3;1;3;NA
"Região Metropolitana do Alto Vale do Itajaí";"Ciclistas";1;1;NA;1;2;2;NA;NA;1;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA
"Região Metropolitana do Agreste";"Ciclistas";NA;1;NA;NA;2;2;3;2;4;5;5;5;3;2;1;NA;5;5;11;5;9;5;NA
"Região Metropolitana de Umuarama";"Ciclistas";1;2;1;1;3;1;4;NA;1;NA;1;1;3;3;4;3;1;1;2;2;1;NA;NA
"Região Metropolitana de Tubarão";"Ciclistas";NA;NA;NA;2;1;NA;NA;1;1;NA;1;1;1;NA;NA;NA;1;1;NA;1;NA;2;NA
"Região Metropolitana de Toledo";"Ciclistas";2;1;2;4;2;NA;2;2;2;2;4;NA;1;1;2;1;3;4;2;2;4;3;NA
"Região Metropolitana de São Paulo";"Ciclistas";3;19;11;15;13;19;45;33;37;43;39;38;29;25;42;23;21;25;20;30;31;33;NA
"Região Metropolitana de São José do Rio Preto";"Ciclistas";1;1;2;NA;2;NA;NA;NA;NA;4;NA;1;2;1;1;NA;NA;1;1;1;1;2;NA
"Região Metropolitana de Sousa";"Ciclistas";NA;NA;NA;NA;1;NA;NA;1;1;NA;1;2;1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA
"Região Metropolitana de Sorocaba";"Ciclistas";NA;3;3;1;1;3;6;2;7;2;4;8;2;9;4;2;2;1;5;5;4;6;NA
"Região Metropolitana de Sobral";"Ciclistas";1;1;6;4;4;7;8;2;4;7;5;6;5;3;9;10;12;13;15;8;9;10;NA
"Região Metropolitana de Santarém";"Ciclistas";NA;NA;NA;1;NA;NA;NA;NA;NA;5;NA;NA;NA;NA;NA;NA;1;1;NA;NA;2;2;NA
"Região Metropolitana de Salvador";"Ciclistas";NA;NA;1;1;NA;10;12;17;3;4;5;7;5;8;9;9;5;6;5;7;5;8;NA
"Região Metropolitana de Ribeirão Preto";"Ciclistas";NA;1;3;NA;NA;NA;11;3;5;6;7;5;4;8;3;7;5;10;6;5;5;4;NA
"Região Metropolitana de Recife";"Ciclistas";13;18;14;11;8;14;17;20;12;13;13;17;24;7;16;28;14;30;24;29;30;25;NA
"Região Metropolitana de Porto Velho";"Ciclistas";NA;NA;5;5;2;2;7;1;8;2;4;6;3;13;5;5;4;5;6;5;11;5;NA
"Região Metropolitana de Porto Alegre";"Ciclistas";NA;NA;3;4;2;2;3;2;4;1;1;2;4;4;8;1;4;3;2;2;3;7;NA
"Região Metropolitana de Piracicaba";"Ciclistas";NA;NA;1;1;2;2;4;2;1;2;2;2;2;7;1;6;2;1;5;9;6;3;NA
"Região Metropolitana de Patos";"Ciclistas";NA;NA;NA;NA;NA;NA;NA;1;1;1;2;4;1;1;1;NA;NA;NA;NA;2;1;NA;NA
"Região Metropolitana de Palmeira dos Índios";"Ciclistas";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Região Metropolitana de Palmas";"Ciclistas";4;5;14;11;3;5;7;7;6;10;4;2;6;7;2;3;5;5;2;6;7;6;NA
"Região Metropolitana de Natal";"Ciclistas";2;6;4;5;3;5;3;2;5;1;6;8;2;4;3;5;8;7;3;2;5;7;NA
"Região Metropolitana de Maringá";"Ciclistas";2;1;3;2;5;1;5;NA;1;NA;NA;1;4;2;2;6;1;1;7;4;6;3;NA
"Região Metropolitana de Manaus";"Ciclistas";8;4;2;5;2;4;2;NA;5;1;5;6;2;3;1;3;2;10;5;8;4;1;NA
"Região Metropolitana de Maceió";"Ciclistas";2;2;3;3;4;4;6;NA;4;4;4;4;NA;NA;1;2;2;12;5;4;17;5;NA
"Região Metropolitana de Macapá";"Ciclistas";1;NA;3;NA;3;3;2;NA;2;NA;NA;NA;1;1;13;12;7;12;4;9;5;5;NA
"Região Metropolitana de Londrina";"Ciclistas";3;2;4;10;3;5;5;3;5;3;3;1;7;3;4;4;2;7;5;5;NA;3;NA
"Região Metropolitana de Lages";"Ciclistas";NA;1;NA;3;1;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;1;NA;NA;1;NA
"Região Metropolitana de Jundiaí";"Ciclistas";NA;NA;NA;NA;NA;NA;2;1;3;2;4;NA;2;1;1;2;6;2;1;2;2;1;NA
"Região Metropolitana de João Pessoa";"Ciclistas";1;2;3;5;2;4;2;2;8;5;5;4;3;5;NA;3;9;7;9;6;1;7;NA
"Região Metropolitana de Joinville";"Ciclistas";NA;1;NA;2;1;1;2;1;1;4;5;3;1;3;4;7;3;2;2;7;5;4;NA
"Região Metropolitana de Jaraguá do Sul";"Ciclistas";1;NA;NA;2;4;NA;1;NA;NA;1;1;NA;NA;1;NA;2;4;2;NA;NA;1;NA;NA
"Região Metropolitana de Itabaiana";"Ciclistas";NA;NA;2;1;NA;NA;NA;NA;NA;NA;2;NA;1;NA;NA;NA;NA;NA;NA;NA;1;NA;NA
"Região Metropolitana de Gurupi";"Ciclistas";1;1;2;3;NA;2;3;5;NA;NA;NA;NA;1;NA;NA;2;1;3;1;4;1;9;NA
"Região Metropolitana de Guarabira";"Ciclistas";NA;NA;NA;NA;NA;1;NA;NA;NA;NA;1;NA;NA;1;1;1;1;NA;1;NA;1;NA;NA
"Região Metropolitana de Goiânia";"Ciclistas";10;16;23;13;24;45;25;40;30;21;15;17;27;27;36;22;28;35;38;23;14;21;NA
"Região Metropolitana de Fortaleza";"Ciclistas";13;20;10;9;4;7;15;15;4;NA;NA;2;NA;3;1;5;12;16;20;11;14;14;NA
"Região Metropolitana de Florianópolis";"Ciclistas";1;1;3;1;2;NA;1;1;NA;NA;2;NA;4;1;3;NA;1;NA;2;3;1;1;NA
"Região Metropolitana de Feira de Santana";"Ciclistas";NA;NA;NA;NA;NA;1;1;NA;2;1;NA;NA;1;NA;NA;NA;NA;2;1;1;1;NA;NA
"Região Metropolitana de Esperança";"Ciclistas";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;NA;1;1;NA;NA;NA;NA;NA;NA;NA
"Região Metropolitana de Curitiba";"Ciclistas";NA;4;2;4;3;11;4;1;4;NA;2;2;4;4;1;3;5;NA;4;4;10;9;NA
"Região Metropolitana de Chapecó";"Ciclistas";NA;2;NA;1;NA;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;1;3;NA;NA;NA
"Região Metropolitana de Central";"Ciclistas";NA;1;1;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;1;NA;NA;NA;1;NA;2;1;NA
"Região Metropolitana de Cascavel";"Ciclistas";NA;1;1;1;NA;NA;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;1;2;2;NA;3;NA
"Região Metropolitana de Campo Mourão";"Ciclistas";4;2;2;NA;3;1;1;1;2;3;1;4;4;6;3;3;5;2;6;3;1;1;NA
"Região Metropolitana de Campinas";"Ciclistas";1;NA;2;4;9;6;11;13;10;5;7;5;6;8;17;6;4;7;11;10;9;17;NA
"Região Metropolitana de Campina Grande";"Ciclistas";NA;NA;NA;3;1;NA;NA;1;5;5;3;6;1;4;1;6;3;4;3;9;2;5;NA
"Região Metropolitana de Cajazeiras";"Ciclistas";NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;1;1;NA;1;NA;NA;NA;NA;2;NA
"Região Metropolitana de Caetés";"Ciclistas";NA;NA;NA;NA;NA;NA;NA;1;1;NA;NA;NA;NA;NA;NA;NA;1;NA;2;1;3;NA;NA
"Região Metropolitana de Belém";"Ciclistas";2;2;1;2;1;10;9;4;8;16;6;8;9;3;6;2;4;10;7;6;3;12;NA
"Região Metropolitana de Belo Horizonte";"Ciclistas";17;15;34;28;29;22;24;31;20;20;20;19;13;14;18;14;7;13;22;6;12;12;NA
"Região Metropolitana de Barra de Santa Rosa";"Ciclistas";NA;NA;NA;NA;NA;NA;NA;2;NA;NA;1;NA;NA;NA;NA;1;NA;NA;NA;NA;1;NA;NA
"Região Metropolitana de Araruna";"Ciclistas";NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA
"Região Metropolitana de Aracaju";"Ciclistas";1;6;5;4;4;11;5;14;14;14;20;9;12;10;6;12;14;14;9;18;10;15;NA
"Região Metropolitana de Apucarana";"Ciclistas";2;1;1;NA;1;1;2;NA;1;3;3;2;2;1;NA;1;1;1;NA;3;NA;3;NA
"Região Metropolitana da Zona da Mata";"Ciclistas";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;1;NA;NA
"Região Metropolitana da Zona Leste do Estado do Maranhão";"Ciclistas";NA;NA;NA;NA;1;2;NA;2;2;3;2;4;4;1;4;NA;2;NA;1;6;NA;1;NA
"Região Metropolitana da Serra Gaúcha";"Ciclistas";NA;NA;NA;1;NA;NA;NA;1;NA;1;NA;NA;NA;1;NA;NA;NA;1;1;1;NA;NA;NA
"Região Metropolitana da Grande Vitória";"Ciclistas";3;2;2;7;3;11;12;7;8;8;6;3;9;10;11;14;12;9;15;12;19;21;NA
"Região Metropolitana da Grande São Luís";"Ciclistas";5;3;7;6;9;23;12;9;9;11;8;8;4;6;3;3;5;NA;6;1;4;3;NA
"Região Metropolitana da Foz do Rio Itajaí";"Ciclistas";1;1;3;1;4;NA;1;2;4;4;4;1;4;NA;1;2;NA;NA;4;2;NA;NA;NA
"Região Metropolitana da Capital";"Ciclistas";8;8;7;2;1;10;5;11;13;5;11;14;10;10;6;12;5;16;4;3;3;2;NA
"Região Metropolitana da Baixada Santista";"Ciclistas";1;NA;4;4;NA;3;7;3;7;10;8;21;12;8;8;9;8;7;9;18;18;25;NA
"Região Metropolitana Carbonífera";"Ciclistas";NA;1;NA;1;2;NA;NA;1;NA;2;NA;1;NA;NA;NA;NA;NA;1;NA;1;4;1;NA
"Região Integrada de Desenvolvimento do Distrito Federal e Entorno";"Ciclistas";10;15;18;22;12;44;45;43;60;39;24;40;36;39;25;36;25;20;20;25;28;22;NA
"Região Integrada de Desenvolvimento da Grande Teresina";"Ciclistas";15;13;18;11;23;20;25;35;25;28;32;18;25;13;18;21;24;18;16;16;12;17;NA
"Região Administrativa Integrada de Desenvolvimento do Polo Petrolina/PE e Juazeiro/BA";"Ciclistas";4;2;6;7;NA;4;1;2;2;11;1;5;5;5;5;8;5;6;12;2;5;3;NA
"Entorno Metropolitano da RM Vale do Rio Cuiabá";"Ciclistas";NA;1;NA;NA;1;NA;NA;1;3;1;NA;2;NA;2;3;NA;NA;1;NA;2;2;1;NA
"Colar Metropolitano de Belo Horizonte";"Ciclistas";1;NA;2;NA;3;2;2;1;2;4;2;4;4;4;6;2;2;7;4;6;4;4;NA
"Colar Metropolitano";"Ciclistas";NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;1;1;1;2;1;NA;NA;2;1;3;NA
"-";"Ciclistas";122;184;219;243;286;298;368;372;339;354;367;359;364;348;324;330;314;341;360;344;315;317;NA
"Área de Expansão Metropolitana";"Motociclistas";1;NA;NA;NA;NA;NA;NA;NA;NA;1;2;NA;NA;NA;2;3;NA;3;3;NA;2;4;NA
"Região Metropolitana do Vale do Rio Cuiabá";"Motociclistas";20;32;24;18;17;23;22;44;52;50;69;62;67;68;70;86;83;110;86;64;82;89;NA
"Região Metropolitana do Vale do Piancó";"Motociclistas";NA;NA;6;2;NA;2;2;NA;3;5;7;6;6;6;4;3;2;5;3;3;3;7;NA
"Região Metropolitana do Vale do Paraíba e Litoral Norte";"Motociclistas";3;3;5;1;4;8;7;9;12;9;11;9;19;10;17;19;14;12;17;18;12;22;NA
"Região Metropolitana do Vale do Paraíba";"Motociclistas";1;1;1;NA;3;1;1;3;1;2;1;1;3;4;1;2;NA;12;5;3;14;7;NA
"Região Metropolitana do Vale do Mamanguape";"Motociclistas";NA;NA;NA;NA;NA;2;3;2;5;5;3;4;7;9;7;12;11;10;15;9;7;11;NA
"Região Metropolitana do Vale do Itajaí";"Motociclistas";1;NA;NA;1;1;2;3;5;NA;6;7;11;8;5;10;7;6;12;5;7;17;16;NA
"Região Metropolitana do Vale do Aço";"Motociclistas";1;NA;NA;2;2;NA;NA;NA;1;3;1;1;8;2;5;7;7;13;8;13;12;9;NA
"Região Metropolitana do São Francisco";"Motociclistas";1;NA;2;3;3;2;2;5;3;1;4;4;3;2;NA;NA;1;19;7;15;10;7;NA
"Região Metropolitana do Sul do Estado";"Motociclistas";2;5;1;2;3;2;3;4;NA;7;5;4;12;7;13;9;1;5;8;5;4;10;NA
"Região Metropolitana do Sudoeste Maranhense";"Motociclistas";2;8;14;17;15;21;33;22;12;16;17;44;103;116;141;143;146;119;131;92;98;93;NA
"Região Metropolitana do Sertão";"Motociclistas";NA;NA;NA;6;3;1;8;3;5;3;6;3;9;2;NA;NA;1;13;19;9;12;16;NA
"Região Metropolitana do Rio de Janeiro";"Motociclistas";10;31;37;69;74;106;144;135;160;170;151;113;90;139;167;161;102;135;144;82;137;137;NA
"Região Metropolitana do Planalto Norte";"Motociclistas";NA;NA;NA;NA;1;NA;NA;NA;1;1;2;NA;NA;2;NA;NA;NA;NA;1;NA;1;NA;NA
"Região Metropolitana do Médio Sertão";"Motociclistas";1;2;3;1;1;3;3;5;5;5;4;4;3;6;NA;4;6;19;20;14;18;19;NA
"Região Metropolitana do Extremo Oeste";"Motociclistas";2;NA;NA;NA;NA;1;NA;1;2;1;1;5;2;5;5;1;3;7;NA;1;4;4;NA
"Região Metropolitana do Contestado";"Motociclistas";NA;NA;NA;NA;NA;2;1;1;1;2;2;6;2;2;7;2;6;7;5;3;2;5;NA
"Região Metropolitana do Cariri";"Motociclistas";8;17;10;5;17;39;40;44;23;23;25;46;10;22;18;18;24;46;53;49;34;43;NA
"Região Metropolitana do Alto Vale do Itajaí";"Motociclistas";NA;NA;NA;NA;2;1;2;NA;1;3;1;NA;1;1;1;4;4;2;2;3;2;1;NA
"Região Metropolitana do Agreste";"Motociclistas";8;4;11;8;22;29;30;59;47;65;70;46;44;37;15;14;61;102;138;146;138;145;NA
"Região Metropolitana de Umuarama";"Motociclistas";1;3;3;3;1;3;7;6;4;4;12;9;6;8;8;21;9;8;6;14;8;16;NA
"Região Metropolitana de Tubarão";"Motociclistas";NA;1;NA;1;4;3;3;2;1;2;4;1;5;5;3;1;3;3;3;1;3;3;NA
"Região Metropolitana de Toledo";"Motociclistas";NA;NA;1;1;NA;3;1;6;1;NA;2;2;5;12;12;11;7;8;6;7;11;17;NA
"Região Metropolitana de São Paulo";"Motociclistas";17;54;22;51;53;82;181;152;224;203;278;286;287;229;281;243;239;175;120;239;289;273;NA
"Região Metropolitana de São José do Rio Preto";"Motociclistas";NA;2;NA;1;2;4;1;1;2;3;2;4;4;5;3;4;7;6;7;20;14;10;NA
"Região Metropolitana de Sousa";"Motociclistas";NA;NA;NA;2;NA;3;1;8;7;9;7;7;7;8;7;4;4;3;5;10;1;4;NA
"Região Metropolitana de Sorocaba";"Motociclistas";1;1;5;2;2;2;15;18;12;16;15;23;20;14;19;16;16;13;15;17;27;35;NA
"Região Metropolitana de Sobral";"Motociclistas";4;4;11;22;15;22;37;51;49;47;75;89;122;109;147;157;143;134;150;129;111;139;NA
"Região Metropolitana de Santarém";"Motociclistas";NA;NA;1;NA;NA;NA;NA;NA;1;NA;1;2;NA;NA;1;NA;11;25;30;63;71;17;NA
"Região Metropolitana de Salvador";"Motociclistas";5;8;14;11;15;99;80;77;19;32;135;93;122;144;160;127;101;104;65;61;61;64;NA
"Região Metropolitana de Ribeirão Preto";"Motociclistas";2;3;1;1;2;NA;13;5;6;13;11;14;14;19;18;18;12;24;21;20;30;38;NA
"Região Metropolitana de Recife";"Motociclistas";33;28;44;63;89;77;85;94;81;120;192;242;246;155;251;238;280;246;200;165;181;150;NA
"Região Metropolitana de Porto Velho";"Motociclistas";3;7;10;3;7;7;11;11;11;22;29;30;45;75;34;49;43;45;36;23;25;35;NA
"Região Metropolitana de Porto Alegre";"Motociclistas";2;2;5;3;4;5;6;4;6;9;9;13;10;11;15;7;13;6;10;18;12;16;NA
"Região Metropolitana de Piracicaba";"Motociclistas";1;4;1;NA;2;5;3;5;3;9;5;7;11;2;19;21;11;15;18;21;31;31;NA
"Região Metropolitana de Patos";"Motociclistas";NA;NA;2;1;1;5;1;3;4;6;11;7;11;6;15;9;9;12;11;9;9;12;NA
"Região Metropolitana de Palmeira dos Índios";"Motociclistas";1;NA;1;1;3;1;1;3;NA;1;NA;2;NA;NA;1;NA;NA;2;4;3;4;6;NA
"Região Metropolitana de Palmas";"Motociclistas";8;12;20;19;18;23;24;40;29;31;31;43;40;45;35;64;61;61;62;64;51;70;NA
"Região Metropolitana de Natal";"Motociclistas";19;24;16;20;11;9;21;23;20;39;52;46;48;70;58;51;63;60;71;52;53;37;NA
"Região Metropolitana de Maringá";"Motociclistas";2;2;2;8;9;3;6;11;8;6;14;3;14;10;11;18;13;10;11;14;16;27;NA
"Região Metropolitana de Manaus";"Motociclistas";52;37;28;26;29;40;40;37;50;46;56;59;71;82;104;131;138;156;135;125;157;141;NA
"Região Metropolitana de Maceió";"Motociclistas";9;11;17;22;18;25;17;6;15;13;16;24;37;49;21;29;25;93;79;49;123;85;NA
"Região Metropolitana de Macapá";"Motociclistas";2;2;2;3;6;1;7;2;1;7;1;NA;2;3;31;21;26;26;18;15;34;19;NA
"Região Metropolitana de Londrina";"Motociclistas";14;3;9;8;11;13;11;13;15;9;12;21;18;7;20;10;18;13;19;27;27;31;NA
"Região Metropolitana de Lages";"Motociclistas";NA;NA;NA;1;NA;NA;2;NA;1;1;3;1;2;1;4;1;3;2;2;4;5;4;NA
"Região Metropolitana de Jundiaí";"Motociclistas";NA;NA;2;1;4;3;5;3;7;6;4;9;6;9;16;14;5;14;14;13;13;24;NA
"Região Metropolitana de João Pessoa";"Motociclistas";4;6;20;10;17;34;28;46;58;62;79;72;90;96;77;103;136;123;114;102;92;92;NA
"Região Metropolitana de Joinville";"Motociclistas";NA;NA;NA;NA;2;1;3;1;2;6;7;6;8;1;10;7;6;4;5;8;5;6;NA
"Região Metropolitana de Jaraguá do Sul";"Motociclistas";1;NA;NA;NA;2;1;NA;1;2;3;3;3;4;2;2;NA;3;3;2;3;3;2;NA
"Região Metropolitana de Itabaiana";"Motociclistas";NA;NA;NA;NA;3;4;NA;4;4;2;NA;3;4;14;8;7;5;13;4;4;3;10;NA
"Região Metropolitana de Gurupi";"Motociclistas";4;2;7;9;7;14;9;12;19;13;7;11;18;32;20;26;27;32;23;21;18;23;NA
"Região Metropolitana de Guarabira";"Motociclistas";NA;1;NA;1;4;3;5;5;2;5;3;13;7;18;11;12;17;16;21;12;10;16;NA
"Região Metropolitana de Goiânia";"Motociclistas";33;50;54;35;63;98;105;130;128;146;151;149;169;153;181;159;187;186;195;191;136;166;NA
"Região Metropolitana de Fortaleza";"Motociclistas";48;70;71;56;59;55;90;110;77;52;107;105;111;148;102;117;132;231;176;125;129;109;NA
"Região Metropolitana de Florianópolis";"Motociclistas";3;5;2;2;1;4;4;2;3;9;6;6;6;12;10;15;9;8;9;8;6;2;NA
"Região Metropolitana de Feira de Santana";"Motociclistas";NA;2;2;2;1;5;2;10;7;12;17;10;6;9;4;5;8;NA;2;2;11;10;NA
"Região Metropolitana de Esperança";"Motociclistas";NA;NA;1;1;2;1;NA;NA;2;6;2;4;4;3;7;10;7;9;2;7;4;6;NA
"Região Metropolitana de Curitiba";"Motociclistas";NA;2;NA;4;1;15;5;12;13;5;5;9;8;2;6;9;6;11;13;14;18;57;NA
"Região Metropolitana de Chapecó";"Motociclistas";NA;1;1;NA;2;2;NA;NA;1;NA;1;2;1;1;6;3;6;5;5;4;5;5;NA
"Região Metropolitana de Central";"Motociclistas";NA;1;2;5;3;3;1;2;1;NA;2;5;6;5;3;1;NA;1;NA;NA;5;5;NA
"Região Metropolitana de Cascavel";"Motociclistas";1;1;NA;NA;2;NA;1;2;4;2;2;5;8;8;4;6;2;5;4;6;14;18;NA
"Região Metropolitana de Campo Mourão";"Motociclistas";NA;2;2;1;NA;2;2;4;NA;6;9;14;25;14;18;14;19;23;18;12;18;17;NA
"Região Metropolitana de Campinas";"Motociclistas";4;1;1;4;14;12;31;18;36;25;27;53;37;27;36;37;37;40;37;48;41;68;NA
"Região Metropolitana de Campina Grande";"Motociclistas";3;NA;NA;3;16;31;21;60;88;59;34;49;101;97;109;108;105;93;100;86;105;75;NA
"Região Metropolitana de Cajazeiras";"Motociclistas";NA;3;2;2;2;2;5;4;4;11;9;9;7;7;12;7;6;5;13;12;5;18;NA
"Região Metropolitana de Caetés";"Motociclistas";NA;1;NA;1;3;2;1;1;4;1;NA;1;3;3;1;1;4;7;10;6;11;10;NA
"Região Metropolitana de Belém";"Motociclistas";8;11;8;20;14;35;32;21;28;23;46;75;66;64;47;75;54;68;74;71;70;70;NA
"Região Metropolitana de Belo Horizonte";"Motociclistas";34;31;38;44;64;67;87;96;136;93;111;138;120;135;126;108;99;87;93;73;88;68;NA
"Região Metropolitana de Barra de Santa Rosa";"Motociclistas";NA;NA;NA;2;2;1;NA;2;1;3;1;2;3;6;1;3;8;1;8;11;6;3;NA
"Região Metropolitana de Araruna";"Motociclistas";NA;NA;NA;NA;1;3;NA;3;2;NA;1;7;NA;4;6;5;5;1;2;4;3;2;NA
"Região Metropolitana de Aracaju";"Motociclistas";9;14;29;22;33;46;48;56;60;103;114;135;150;144;115;129;106;104;84;99;95;100;NA
"Região Metropolitana de Apucarana";"Motociclistas";1;3;2;3;3;4;4;3;4;4;5;8;13;12;9;11;8;5;3;11;14;15;NA
"Região Metropolitana da Zona da Mata";"Motociclistas";1;1;1;NA;NA;1;3;5;NA;1;6;5;2;12;2;3;2;18;17;3;25;10;NA
"Região Metropolitana da Zona Leste do Estado do Maranhão";"Motociclistas";1;NA;4;4;5;10;8;10;14;20;19;24;31;34;52;38;54;19;38;22;58;49;NA
"Região Metropolitana da Serra Gaúcha";"Motociclistas";NA;NA;1;1;1;1;4;NA;NA;2;3;3;3;2;5;NA;4;NA;3;5;3;NA;NA
"Região Metropolitana da Grande Vitória";"Motociclistas";8;5;18;22;29;41;38;47;59;64;79;65;74;71;75;74;69;63;50;54;59;68;NA
"Região Metropolitana da Grande São Luís";"Motociclistas";10;12;23;21;16;31;37;45;58;59;65;75;95;68;68;64;65;56;45;32;64;69;NA
"Região Metropolitana da Foz do Rio Itajaí";"Motociclistas";NA;2;NA;2;2;1;3;1;3;2;3;5;5;4;6;5;2;5;3;9;4;7;NA
"Região Metropolitana da Capital";"Motociclistas";19;22;29;4;6;19;14;36;36;13;41;35;44;52;30;55;28;46;13;20;23;12;NA
"Região Metropolitana da Baixada Santista";"Motociclistas";2;4;4;6;4;8;18;19;28;22;29;30;29;23;24;20;32;31;38;27;52;45;NA
"Região Metropolitana Carbonífera";"Motociclistas";NA;1;4;2;3;NA;1;3;3;3;2;5;2;2;4;1;4;3;1;1;2;2;NA
"Região Integrada de Desenvolvimento do Distrito Federal e Entorno";"Motociclistas";13;21;53;54;43;91;87;123;116;128;158;139;144;144;134;144;145;94;93;114;97;113;NA
"Região Integrada de Desenvolvimento da Grande Teresina";"Motociclistas";28;22;34;39;63;84;84;110;99;141;201;214;232;209;231;265;266;208;205;201;194;192;NA
"Região Administrativa Integrada de Desenvolvimento do Polo Petrolina/PE e Juazeiro/BA";"Motociclistas";10;9;20;21;1;12;7;14;20;32;29;70;86;91;86;100;136;97;93;114;94;107;NA
"Entorno Metropolitano da RM Vale do Rio Cuiabá";"Motociclistas";1;NA;NA;NA;4;2;1;3;1;9;3;4;5;6;4;7;6;2;3;2;3;7;NA
"Colar Metropolitano de Belo Horizonte";"Motociclistas";NA;NA;1;NA;4;3;3;2;4;9;13;13;25;14;27;18;20;11;19;23;19;25;NA
"Colar Metropolitano";"Motociclistas";NA;NA;NA;NA;NA;NA;NA;NA;1;1;2;8;4;4;6;10;4;11;11;10;15;20;NA
"-";"Motociclistas";457;534;735;892;1045;1245;1464;1796;2223;2495;2980;3163;3781;3659;3980;3873;4021;4078;3868;3830;4020;4066;NA
"Área de Expansão Metropolitana";"Pedestres";2;2;1;NA;NA;4;NA;3;2;NA;4;1;1;2;NA;1;1;1;NA;NA;1;1;NA
"Região Metropolitana do Vale do Rio Cuiabá";"Pedestres";41;37;50;39;30;34;37;40;47;43;43;43;31;24;36;14;27;34;37;22;23;19;NA
"Região Metropolitana do Vale do Piancó";"Pedestres";1;2;NA;NA;NA;1;1;NA;2;1;NA;1;1;2;4;1;1;1;2;1;1;NA;NA
"Região Metropolitana do Vale do Paraíba e Litoral Norte";"Pedestres";27;33;32;33;29;31;30;35;43;31;22;21;44;23;21;21;16;22;19;24;27;20;NA
"Região Metropolitana do Vale do Paraíba";"Pedestres";8;9;2;3;1;6;6;3;4;3;2;2;6;2;3;2;NA;1;3;2;NA;4;NA
"Região Metropolitana do Vale do Mamanguape";"Pedestres";NA;2;1;NA;4;3;2;7;5;1;3;3;2;7;2;2;10;5;2;3;2;NA;NA
"Região Metropolitana do Vale do Itajaí";"Pedestres";3;1;NA;1;NA;2;1;1;2;3;2;2;2;NA;2;3;6;3;1;1;4;3;NA
"Região Metropolitana do Vale do Aço";"Pedestres";3;1;1;1;1;1;1;NA;1;NA;2;6;4;6;6;9;13;12;6;15;7;3;NA
"Região Metropolitana do São Francisco";"Pedestres";5;4;6;10;10;3;5;2;NA;7;4;1;1;NA;NA;NA;1;2;3;4;3;2;NA
